mode,model,modality,type,ratio,acc,weighted_f1,macro_f1,acc_mean,acc_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,seeds
fixed,full,image,C,1.0,0.6991,0.6885,0.5722,,,,,,,42
fixed,full,image,D,1.0,0.6969,0.6973,0.6045,,,,,,,42
fixed,full,image,C+D,1.0,0.6991,0.6953,0.5937,,,,,,,42
fixed,full,text,C,1.0,0.6482,0.5772,0.4326,,,,,,,42
fixed,full,text,D,1.0,0.5951,0.4441,0.2487,,,,,,,42
fixed,full,text,C+D,1.0,0.6217,0.5164,0.339,,,,,,,42
fixed,no_recovery,image,C,1.0,0.7235,0.7064,0.587,,,,,,,42
fixed,no_recovery,image,D,1.0,0.7146,0.7009,0.5858,,,,,,,42
fixed,no_recovery,image,C+D,1.0,0.7212,0.7065,0.5931,,,,,,,42
fixed,no_recovery,text,C,1.0,0.6527,0.586,0.4341,,,,,,,42
fixed,no_recovery,text,D,1.0,0.5951,0.4441,0.2487,,,,,,,42
fixed,no_recovery,text,C+D,1.0,0.6261,0.526,0.3508,,,,,,,42
fixed,no_quality,image,C,1.0,0.7035,0.6969,0.585,,,,,,,42
fixed,no_quality,image,D,1.0,0.677,0.679,0.5764,,,,,,,42
fixed,no_quality,image,C+D,1.0,0.6925,0.6894,0.5803,,,,,,,42
fixed,no_quality,text,C,1.0,0.6372,0.5646,0.4214,,,,,,,42
fixed,no_quality,text,D,1.0,0.5951,0.4441,0.2487,,,,,,,42
fixed,no_quality,text,C+D,1.0,0.6239,0.5167,0.3478,,,,,,,42
fixed,no_both,image,C,1.0,0.719,0.6974,0.565,,,,,,,42
fixed,no_both,image,D,1.0,0.7168,0.7014,0.5797,,,,,,,42
fixed,no_both,image,C+D,1.0,0.7146,0.6968,0.57,,,,,,,42
fixed,no_both,text,C,1.0,0.6372,0.556,0.3979,,,,,,,42
fixed,no_both,text,D,1.0,0.5951,0.4441,0.2487,,,,,,,42
fixed,no_both,text,C+D,1.0,0.615,0.502,0.3177,,,,,,,42
random,full,random,C,0.2,,,,0.7119,0.0058,0.6946,0.0048,0.5781,0.0031,"[42, 43, 44, 45, 46]"
random,full,random,D,0.2,,,,0.7035,0.0042,0.6839,0.0036,0.5612,0.0057,"[42, 43, 44, 45, 46]"
random,full,random,C+D,0.2,,,,0.7058,0.0037,0.6876,0.003,0.5669,0.0053,"[42, 43, 44, 45, 46]"
random,full,random,C,0.4,,,,0.7053,0.0125,0.6866,0.0124,0.5718,0.0114,"[42, 43, 44, 45, 46]"
random,full,random,D,0.4,,,,0.692,0.0102,0.6702,0.0089,0.547,0.0038,"[42, 43, 44, 45, 46]"
random,full,random,C+D,0.4,,,,0.6956,0.0096,0.6754,0.0088,0.5548,0.0069,"[42, 43, 44, 45, 46]"
random,full,random,C,0.6,,,,0.6969,0.004,0.6762,0.0067,0.5605,0.0114,"[42, 43, 44, 45, 46]"
random,full,random,D,0.6,,,,0.6774,0.0086,0.6516,0.0087,0.5286,0.0092,"[42, 43, 44, 45, 46]"
random,full,random,C+D,0.6,,,,0.6858,0.0058,0.6634,0.0054,0.5464,0.0061,"[42, 43, 44, 45, 46]"
random,full,random,C,0.8,,,,0.6836,0.0052,0.6614,0.0078,0.545,0.0112,"[42, 43, 44, 45, 46]"
random,full,random,D,0.8,,,,0.6611,0.0124,0.633,0.014,0.5143,0.0145,"[42, 43, 44, 45, 46]"
