mode,modality,type,ratio,acc,w_f1,acc_std,w_f1_std
clean,-,-,0,0.7278761061946902,0.7043948367222284,,
fixed,image,C,1.0,0.7101769911504425,0.6899761637505786,,
fixed,image,D,1.0,0.6969026548672567,0.6800655517243336,,
fixed,image,C+D,1.0,0.6969026548672567,0.6793348881929583,,
fixed,text,C,1.0,0.6305309734513275,0.523654473660822,,
fixed,text,D,1.0,0.6039823008849557,0.4721689174236316,,
fixed,text,C+D,1.0,0.6216814159292036,0.5070612246889723,,
random,random,C,0.2,0.715339233038348,0.6893967261409603,0.0037603388743309247,0.004026283591731407
random,random,D,0.2,0.7087020648967552,0.6830474562506986,0.00551866871205593,0.006141831369025774
random,random,C+D,0.2,0.7094395280235988,0.6836195520543452,0.006343897689559447,0.006710490752743159
random,random,C,0.4,0.7028023598820058,0.674367377013108,0.0037603388743309607,0.003509467643341889
random,random,D,0.4,0.6954277286135694,0.6671478023007974,0.00417172142292949,0.00338195005466279
random,random,C+D,0.4,0.6976401179941002,0.669004516947103,0.004546028025788314,0.003195361093653695
random,random,C,0.6,0.6821533923303834,0.650531007660362,0.00454602802578832,0.004747802543034627
random,random,D,0.6,0.6710914454277286,0.6390662098556689,0.007520677748661886,0.007669994274653201
random,random,C+D,0.6,0.6755162241887906,0.6430600427874648,0.007520677748661886,0.0069986747123276126
random,random,C,0.8,0.668141592920354,0.6333614639392781,0.011281016622992912,0.012242722044746013
random,random,D,0.8,0.6548672566371682,0.6191008433450834,0.01128101662299286,0.01099108795318357
random,random,C+D,0.8,0.6607669616519174,0.624475921390336,0.009948921506808327,0.00907469782923642
random,random,C,1.0,0.6533923303834809,0.6123285639504067,0.012687795379118938,0.013560020919765945
random,random,D,1.0,0.6364306784660767,0.5941850677586894,0.008145546472851952,0.008645467638678607
random,random,C+D,1.0,0.6430678466076696,0.6007460985704637,0.007520677748661936,0.0077017606978207935
