mode,modality,type,ratio,acc,w_f1,macro_f1,acc_std,w_f1_std,img_path_ratio
clean,-,-,0,0.7412,0.7243,0.6071,,,0.0
fixed,image,C,1.0,0.7257,0.7162,0.601,,,0.0
fixed,image,D,1.0,0.7212,0.7182,0.6184,,,0.0
fixed,image,C+D,1.0,0.7212,0.7153,0.608,,,0.0
fixed,text,C,1.0,0.646,0.5668,0.3856,,,0.7035
fixed,text,D,1.0,0.6217,0.5252,0.3351,,,1.0
fixed,text,C+D,1.0,0.6327,0.5444,0.3541,,,0.865
random,random,C,0.2,0.7323,0.7134,0.591,0.0054,0.0054,
random,random,D,0.2,0.7257,0.7061,0.5819,0.0063,0.0063,
random,random,C+D,0.2,0.7286,0.709,0.5849,0.0085,0.0085,
random,random,C,0.4,0.7205,0.6986,0.5696,0.0058,0.004,
random,random,D,0.4,0.7146,0.6922,0.5631,0.0118,0.0109,
random,random,C+D,0.4,0.7176,0.695,0.5662,0.014,0.0138,
random,random,C,0.6,0.705,0.6807,0.5534,0.0063,0.004,
random,random,D,0.6,0.6962,0.6712,0.5437,0.0109,0.0108,
random,random,C+D,0.6,0.7013,0.6765,0.5493,0.0154,0.0157,
random,random,C,0.8,0.6932,0.6658,0.5376,0.0106,0.0107,
random,random,D,0.8,0.6807,0.6527,0.5236,0.0085,0.0102,
random,random,C+D,0.8,0.6888,0.6605,0.5299,0.014,0.0161,
random,random,C,1.0,0.6792,0.6477,0.5123,0.0018,0.0033,
random,random,D,1.0,0.6645,0.6319,0.4937,0.0055,0.0059,
random,random,C+D,1.0,0.6733,0.6401,0.5005,0.0038,0.0063,
